E = 20.0, ik = 2.3802142575657896
E = 20.0, ik = 2.4589642575657895
E = 20.0, ik = 2.417979942159722
E = 20.0, ik = 2.496729942159722
E = 20.0, ik = 2.3358605591038044
E = 20.0, ik = 2.4146105591038043
E = 20.0, ik = 2.493360559103804
E = 20.0, ik = 2.34318709537095
E = 20.0, ik = 2.42193709537095
E = 20.1, ik = 2.343914666123018
E = 20.1, ik = 2.423914666123018
E = 20.1, ik = 2.4916082794969965
E = 20.1, ik = 2.346712215495413
E = 20.1, ik = 2.4267122154954133
E = 20.1, ik = 2.485620212488802
E = 20.1, ik = 2.3595294857993596
E = 20.1, ik = 2.4395294857993597
E = 20.1, ik = 2.458185245942902
E = 20.200000000000003, ik = 2.3409595376973003
E = 20.200000000000003, ik = 2.4222095376973005
E = 20.200000000000003, ik = 2.492696391243797
E = 20.200000000000003, ik = 2.344142636361727
E = 20.200000000000003, ik = 2.4253926363617273
E = 20.200000000000003, ik = 2.4859878883816457
E = 20.200000000000003, ik = 2.3582810641630516
E = 20.200000000000003, ik = 2.4395310641630514
E = 20.200000000000003, ik = 2.4561906080046705
E = 20.3, ik = 2.4749441358731086
E = 20.3, ik = 2.380756103435498
E = 20.3, ik = 2.463256103435498
E = 20.3, ik = 2.405015854399563
E = 20.3, ik = 2.487515854399563
E = 20.3, ik = 2.3546621682697557
E = 20.3, ik = 2.4371621682697557
E = 20.3, ik = 2.4591765843746387
E = 20.3, ik = 2.41348332888664
E = 20.400000000000002, ik = 2.3705490329537464
E = 20.400000000000002, ik = 2.4542990329537466
E = 20.400000000000002, ik = 2.422191425009944
E = 20.400000000000002, ik = 2.487839502804295
E = 20.400000000000002, ik = 2.3536136792662625
E = 20.400000000000002, ik = 2.4373636792662627
E = 20.400000000000002, ik = 2.456817904139025
E = 20.400000000000002, ik = 2.4170412733133575
E = 20.400000000000002, ik = 2.49836964132542
E = 20.5, ik = 2.404802500195342
E = 20.5, ik = 2.489802500195342
E = 20.5, ik = 2.349293463209413
E = 20.5, ik = 2.434293463209413
E = 20.5, ik = 2.461119683455037
E = 20.5, ik = 2.4070766847572718
E = 20.5, ik = 2.4920766847572717
E = 20.5, ik = 2.344711984633843
E = 20.5, ik = 2.429711984633843
E = 20.6, ik = 2.4544752078465977
E = 20.6, ik = 2.419133206914414
E = 20.6, ik = 2.4892998838376004
E = 20.6, ik = 2.3499936074360455
E = 20.6, ik = 2.4362436074360456
E = 20.6, ik = 2.4553295393816827
E = 20.6, ik = 2.417437049276859
E = 20.6, ik = 2.4926673712980154
E = 20.6, ik = 2.343307924722969
E = 20.700000000000003, ik = 2.4305965932232665
E = 20.700000000000003, ik = 2.4645724670620672
E = 20.700000000000003, ik = 2.3980816819595345
E = 20.700000000000003, ik = 2.4855816819595344
E = 20.700000000000003, ik = 2.356966648405191
E = 20.700000000000003, ik = 2.444466648405191
E = 20.700000000000003, ik = 2.437428769071041
E = 20.700000000000003, ik = 2.451201898927973
E = 20.700000000000003, ik = 2.4242478837979564
E = 20.8, ik = 2.3948342382470402
E = 20.8, ik = 2.4835842382470403
E = 20.8, ik = 2.3604231718667315
E = 20.8, ik = 2.4491731718667316
E = 20.8, ik = 2.426817143464457
E = 20.8, ik = 2.469951683335268
E = 20.8, ik = 2.3867263225338258
E = 20.8, ik = 2.475476322533826
E = 20.8, ik = 2.376066881353397
E = 20.900000000000002, ik = 2.4190170702764497
E = 20.900000000000002, ik = 2.4828312714281826
E = 20.900000000000002, ik = 2.3614158906535176
E = 20.900000000000002, ik = 2.4514158906535175
E = 20.900000000000002, ik = 2.4211880158246477
E = 20.900000000000002, ik = 2.478700746002521
E = 20.900000000000002, ik = 2.3692747889599257
E = 20.900000000000002, ik = 2.4592747889599256
E = 20.900000000000002, ik = 2.406235370283053
E = 21.0, ik = 2.338700424830222
E = 21.0, ik = 2.429950424830222
E = 21.0, ik = 2.4602033055138066
E = 21.0, ik = 2.4034314955844334
E = 21.0, ik = 2.4946814955844334
E = 21.0, ik = 2.3387305742450475
E = 21.0, ik = 2.4299805742450475
E = 21.0, ik = 2.4601467278653555
E = 21.0, ik = 2.4035376678044513
E = 21.1, ik = 2.4840256984625277
E = 21.1, ik = 2.358321886048896
E = 21.1, ik = 2.450821886048896
E = 21.1, ik = 2.419789322029213
E = 21.1, ik = 2.477237307773218
E = 21.1, ik = 2.370888664974957
E = 21.1, ik = 2.463388664974957
E = 21.1, ik = 2.396525497095684
E = 21.1, ik = 2.4890254970956844
E = 21.200000000000003, ik = 2.394888114684698
E = 21.200000000000003, ik = 2.488638114684698
E = 21.200000000000003, ik = 2.3495028622579093
E = 21.200000000000003, ik = 2.4432528622579093
E = 21.200000000000003, ik = 2.4324005386571868
E = 21.200000000000003, ik = 2.4522226694580262
E = 21.200000000000003, ik = 2.4160168868125997
E = 21.200000000000003, ik = 2.482147955673893
E = 21.200000000000003, ik = 2.361357354029779
E = 21.3, ik = 2.4633274355491044
E = 21.3, ik = 2.3948522974227395
E = 21.3, ik = 2.4898522974227397
E = 21.3, ik = 2.347041233895512
E = 21.3, ik = 2.442041233895512
E = 21.3, ik = 2.4332206759033395
E = 21.3, ik = 2.4491197316842306
E = 21.3, ik = 2.4204616836391746
E = 21.3, ik = 2.472117815240388
E = 21.400000000000002, ik = 2.4031964756422433
E = 21.400000000000002, ik = 2.499446475642243
E = 21.400000000000002, ik = 2.3297347701528457
E = 21.400000000000002, ik = 2.4259847701528456
E = 21.400000000000002, ik = 2.4604298225553465
E = 21.400000000000002, ik = 2.3991489429628974
