Iph = 0.2, vL = 1.04, iL = 0.1894105835273751
Iph = 0.2, vL = 1.05, iL = 0.1893106831919573
Iph = 0.2, vL = 1.06, iL = 0.18921078284726855
Iph = 0.2, vL = 1.07, iL = 0.18911088249294408
Iph = 0.2, vL = 1.08, iL = 0.1890109821286045
Iph = 0.2, vL = 1.09, iL = 0.1889110817538556
Iph = 0.2, vL = 1.1, iL = 0.18881118136828762
Iph = 0.2, vL = 1.11, iL = 0.18871128097147466
Iph = 0.2, vL = 1.12, iL = 0.1886113805629741
Iph = 0.2, vL = 1.1300000000000001, iL = 0.1885114801423259
Iph = 0.2, vL = 1.1400000000000001, iL = 0.18841157970905184
Iph = 0.2, vL = 1.1500000000000001, iL = 0.18831167926265496
Iph = 0.2, vL = 1.16, iL = 0.18821177880261863
Iph = 0.2, vL = 1.17, iL = 0.18811187832840603
Iph = 0.2, vL = 1.18, iL = 0.18801197783945908
Iph = 0.2, vL = 1.19, iL = 0.1879120773351978
Iph = 0.2, vL = 1.2, iL = 0.18781217681501933
Iph = 0.2, vL = 1.21, iL = 0.18771227627829717
Iph = 0.2, vL = 1.22, iL = 0.18761237572438
Iph = 0.2, vL = 1.23, iL = 0.1875124751525911
Iph = 0.2, vL = 1.24, iL = 0.18741257456222685
Iph = 0.2, vL = 1.25, iL = 0.18731267395255607
Iph = 0.2, vL = 1.26, iL = 0.18721277332281885
Iph = 0.2, vL = 1.27, iL = 0.18711287267222526
Iph = 0.2, vL = 1.28, iL = 0.1870129719999543
Iph = 0.2, vL = 1.29, iL = 0.1869130713051527
Iph = 0.2, vL = 1.3, iL = 0.18681317058693356
Iph = 0.2, vL = 1.31, iL = 0.18671326984437506
Iph = 0.2, vL = 1.32, iL = 0.18661336907651913
Iph = 0.2, vL = 1.33, iL = 0.18651346828236998
Iph = 0.2, vL = 1.34, iL = 0.18641356746089255
Iph = 0.2, vL = 1.35, iL = 0.18631366661101115
Iph = 0.2, vL = 1.36, iL = 0.18621376573160772
Iph = 0.2, vL = 1.37, iL = 0.1861138648215201
Iph = 0.2, vL = 1.3800000000000001, iL = 0.18601396387954047
Iph = 0.2, vL = 1.3900000000000001, iL = 0.18591406290441345
Iph = 0.2, vL = 1.4000000000000001, iL = 0.18581416189483424
Iph = 0.2, vL = 1.41, iL = 0.18571426084944664
Iph = 0.2, vL = 1.42, iL = 0.18561435976684112
Iph = 0.2, vL = 1.43, iL = 0.1855144586455527
Iph = 0.2, vL = 1.44, iL = 0.18541455748405855
Iph = 0.2, vL = 1.45, iL = 0.18531465628077612
Iph = 0.2, vL = 1.46, iL = 0.18521475503406043
Iph = 0.2, vL = 1.47, iL = 0.1851148537422018
Iph = 0.2, vL = 1.48, iL = 0.18501495240342322
Iph = 0.2, vL = 1.49, iL = 0.1849150510158778
Iph = 0.2, vL = 1.5, iL = 0.18481514957764578
Iph = 0.2, vL = 1.51, iL = 0.18471524808673206
Iph = 0.2, vL = 1.52, iL = 0.18461534654106285
